Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4606,Rocky,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 4",3/20/2023,Stray,N/A,N/A,9,9,2
GPG-A-4609,Finn,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,N/A,N/A,8,1,5
GPG-A-4611,Fagen,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,N/A,N/A,8,1,5
GPG-A-4613,Cadbury,"Terrier, Pit Bull",Adult Dog (6 months+),"GPG Shelter ESTL, Meet & Greet/Adoption Room",3/21/2023,Stray,N/A,N/A,8,8,0
GPG-A-4635,Tonka,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 3",3/22/2023,Stray,N/A,N/A,7,7,0
GPG-A-4631,Big Bertha,Akita,Adult Dog (6 months+),N/A,3/22/2023,Stray,N/A,N/A,7,5,3
GPG-A-4637,Charlie Daniels,Saint Bernard,Adult Dog (6 months+),N/A,3/23/2023,Stray,N/A,N/A,6,2,0
GPG-A-4638,Zenon,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,N/A,N/A,5,1,5
GPG-A-4639,Astrid,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,N/A,N/A,5,3,5
GPG-A-3524-2,Tico,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,0,2
GPG-A-4653,Blix,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 2",3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,2,2
GPG-A-4654,Llama,"Terrier, American Pit Bull",Puppy (6 weeks-5 months),N/A,3/27/2023,Owner/Guardian Surrender,N/A,N/A,2,2,2
GPG-A-4656,Ohana aka Rudolph,Shiba Inu,Adult Dog (6 months+),"Intake Holding Room 1, Kennel 5",3/28/2023,Transfer In,N/A,N/A,1,0,0
