Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-400-2,Keith,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/15/2020,Owner/Guardian Surrender,04/04/2020,Adoption,21,0,21
GPG-A-355-2,Jeweline,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/15/2020,Owner/Guardian Surrender,03/31/2020,Adoption,17,3,17
GPG-A-584,Alfonzo,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,03/16/2020,Transfer In,03/20/2020,Adoption,5,2,5
GPG-A-585,Argo,Dog,"Retriever, Yellow Labrador",Adult Dog (6 months+),Adopted,03/16/2020,Transfer In,04/02/2020,Adoption,17,2,17
GPG-A-586,Eileen,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/16/2020,Transfer In,06/21/2020,Adoption,97,2,97
GPG-A-587,Colene,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/16/2020,Transfer In,04/23/2020,Adoption,38,13,38
GPG-A-588,Soldier,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/16/2020,Transfer In,05/13/2020,Adoption,59,2,59
GPG-A-540-2,Hero,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/23/2020,Return,03/29/2020,Adoption,7,0,7
GPG-A-590,Dylan,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/24/2020,Transfer In,04/09/2020,Adoption,17,2,16
GPG-A-593,Vicky,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,03/24/2020,Transfer In,04/05/2020,Adoption,13,2,12
GPG-A-589,Nicholas,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/24/2020,Transfer In,03/26/2020,Adoption,1,3,1
GPG-A-592,Emory,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,03/24/2020,Transfer In,07/12/2020,Adoption,111,2,88
GPG-A-591,Bryson,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/24/2020,Transfer In,04/27/2020,Adoption,35,2,34
GPG-A-595,Bandet,Dog,Dalmatian,Adult Dog (6 months+),Adopted,03/25/2020,Owner/Guardian Surrender,04/13/2020,Adoption,20,0,20
GPG-A-596,Cardi B-RTF,Cat,Domestic Shorthair,Adult Cat (6 months+),Wildlife Release,03/25/2020,Stray,06/01/2020,feral/wildlife,69,0,0
GPG-A-597,Snowflake-RTF,Cat,Domestic Shorthair,Adult Cat (6 months+),Wildlife Release,03/25/2020,Stray,05/08/2020,feral/wildlife,44,1,0
GPG-A-598,Denny Doherty-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/25/2020,Stray,04/24/2020,Adoption,30,0,30
GPG-A-599,John Phillips-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/25/2020,Stray,05/09/2020,Adoption,45,0,45
GPG-A-600,Michele Philips-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/25/2020,Stray,05/06/2020,Adoption,42,0,42
GPG-A-601,Cass Elliot-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Died,03/25/2020,Stray,04/05/2020,Died,11,0,11
GPG-A-478-2,Nas,Dog,"Mastiff, Cane Corso",Adult Dog (6 months+),Adopted,03/26/2020,Return,03/27/2020,Adoption,2,0,2
GPG-A-602,Honey,Dog,"Poodle, Standard",Adult Dog (6 months+),Adopted,03/27/2020,Transfer In,04/23/2020,Adoption,28,0,18
GPG-A-579-2,Francisca,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,03/31/2020,Return,04/02/2020,Adoption,2,0,2
GPG-A-603,Peanut Butter-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/01/2020,Owner/Guardian Surrender,04/17/2020,Adoption,16,0,16
GPG-A-610,Jamison,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/05/2020,Owner/Guardian Surrender,04/15/2020,Adoption,11,0,11
GPG-A-677,Buffy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/06/2020,Born In Care,05/29/2020,Adoption,54,0,8
GPG-A-676,Sally-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/06/2020,Born In Care,05/28/2020,Adoption,52,0,8
GPG-A-678,Butchie-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/06/2020,Born In Care,05/29/2020,Adoption,53,0,8
GPG-A-679,Stevie-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/06/2020,Born In Care,05/28/2020,Adoption,52,0,7
GPG-A-633,Issac Newton,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/07/2020,Stray,04/29/2020,Adoption,22,0,22
GPG-A-634,Charles Darwin,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/07/2020,Stray,04/29/2020,Adoption,22,0,22
GPG-A-635,Albert Einstein,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/07/2020,Stray,04/28/2020,Adoption,21,0,21
GPG-A-636,Rosalind Franklin,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/07/2020,Stray,04/30/2020,Adoption,23,0,23
GPG-A-637,Mummy Pig-RTO,Cat,Domestic Shorthair,Adult Cat (6 months+),Redeemed,04/07/2020,Owner/Guardian Surrender,06/17/2020,Return to Owner/Guardian,71,0,0
GPG-A-638,Zoe Zebra-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/07/2020,Owner/Guardian Surrender,05/10/2020,Adoption,34,0,34
GPG-A-639,Peppa Pig-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/07/2020,Owner/Guardian Surrender,05/09/2020,Adoption,32,0,32
GPG-A-640,George Pig-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/07/2020,Owner/Guardian Surrender,05/09/2020,Adoption,32,0,32
GPG-A-641,Pedro Pony-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/07/2020,Owner/Guardian Surrender,05/10/2020,Adoption,34,0,34
GPG-A-355-3,Jeweline,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/08/2020,Return,04/17/2020,Adoption,10,0,10
GPG-A-608,Darcey,Dog,Beagle,Adult Dog (6 months+),Adopted,04/08/2020,Transfer In,04/18/2020,Adoption,10,1,10
GPG-A-607,Midge,Dog,Beagle,Adult Dog (6 months+),Adopted,04/08/2020,Transfer In,04/19/2020,Adoption,11,1,11
GPG-A-606,Trisha,Dog,Beagle,Adult Dog (6 months+),Adopted,04/08/2020,Transfer In,04/21/2020,Adoption,13,1,13
GPG-A-605,Diffie,Dog,Beagle,Adult Dog (6 months+),Adopted,04/08/2020,Transfer In,04/10/2020,Adoption,2,1,2
GPG-A-611,Osborn,Dog,"Terrier, Cairn",Adult Dog (6 months+),Adopted,04/08/2020,Transfer In,04/10/2020,Adoption,2,0,2
GPG-A-498-2,Garfield the Cat,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/08/2020,Owner/Guardian Surrender,04/18/2020,Adoption,11,0,11
GPG-A-609,Claude,Dog,"Retriever, Yellow Labrador",Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/17/2020,Adoption,9,1,9
GPG-A-604,Wade,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/09/2020,Adoption,1,1,1
GPG-A-612,Bullwinkle,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/23/2020,Adoption,15,1,15
GPG-A-613,Rocky,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/19/2020,Adoption,11,1,11
GPG-A-614,Barton,Dog,Shepherd,Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/26/2020,Adoption,18,1,18
GPG-A-615,Speck,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,04/22/2020,Adoption,14,1,14
GPG-A-616,Hayden,Dog,Shepherd,Adult Dog (6 months+),Adopted,04/09/2020,Transfer In,05/29/2020,Adoption,50,1,50
GPG-A-617,Cooper-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,04/16/2020,Adoption,8,1,8
GPG-A-618,Arra-Feral,Cat,Domestic Shorthair,Adult Cat (6 months+),Wildlife Release,04/09/2020,Transfer In,05/19/2020,feral/wildlife,41,1,1
GPG-A-619,Gemma-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,05/22/2020,Adoption,43,1,43
GPG-A-620,Toby-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,05/22/2020,Adoption,43,1,43
GPG-A-621,Dax-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,05/25/2020,Adoption,46,1,46
GPG-A-622,Auggy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,05/25/2020,Adoption,46,1,46
GPG-A-623,Leo-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,04/14/2020,Adoption,6,1,5
GPG-A-624,Barrett-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/09/2020,Transfer In,04/18/2020,Adoption,9,1,9
GPG-A-663,Theodore-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/10/2020,Stray,05/11/2020,Adoption,32,0,32
GPG-A-443-3,Presley,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/11/2020,Return,04/16/2020,Adoption,5,0,5
GPG-A-625,Teddy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/12/2020,Owner/Guardian Surrender,04/14/2020,Adoption,2,1,2
GPG-A-626,Winfrey-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,05/01/2020,Adoption,18,0,18
GPG-A-630,Pax-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/18/2020,Adoption,5,0,5
GPG-A-642,Panger,Dog,"Retriever, Labrador",Adult Dog (6 months+),Redeemed,04/14/2020,Owner/Guardian Surrender,04/14/2020,Return to Owner/Guardian,1,1,1
GPG-A-629,Honor-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/18/2020,Adoption,5,0,5
GPG-A-632,Parks-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/24/2020,Adoption,11,0,11
GPG-A-628,Roosevelt-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/18/2020,Adoption,5,0,5
GPG-A-631,Da Vinci-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/16/2020,Adoption,3,0,3
GPG-A-643,Mandela-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/14/2020,Transfer In,04/25/2020,Adoption,12,1,12
GPG-A-646,Aristotle,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/14/2020,Stray,05/01/2020,Adoption,17,0,17
GPG-A-657,C624-20 Hannah,Cat,Domestic Shorthair,Adult Cat (6 months+),Wildlife Release,04/14/2020,Transfer In,04/16/2020,feral/wildlife,3,3,0
GPG-A-658,C627-20 Ryan,Cat,Domestic Shorthair,Adult Cat (6 months+),Wildlife Release,04/14/2020,Transfer In,04/16/2020,feral/wildlife,3,3,0
GPG-A-644,Hawking,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/15/2020,Stray,04/25/2020,Adoption,11,0,11
GPG-A-645,Sally Ride,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/15/2020,Stray,04/30/2020,Adoption,16,0,16
GPG-A-647,Sage-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/16/2020,Transfer In,04/18/2020,Adoption,3,1,3
GPG-A-648,Thistle-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/16/2020,Transfer In,04/18/2020,Adoption,3,1,3
GPG-A-649,Rosemary-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/16/2020,Transfer In,04/19/2020,Adoption,4,1,4
GPG-A-650,Basil-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/16/2020,Transfer In,04/25/2020,Adoption,9,1,9
GPG-A-651,Thyme-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/16/2020,Transfer In,04/23/2020,Adoption,8,1,8
GPG-A-497-3,Kansas,Dog,Bernese Mountain Dog,Adult Dog (6 months+),Adopted,04/16/2020,Owner/Guardian Surrender,05/02/2020,Adoption,16,0,16
GPG-A-652,Miles,Dog,Mastiff,Adult Dog (6 months+),Adopted,04/17/2020,Owner/Guardian Surrender,04/27/2020,Adoption,10,10,10
GPG-A-584-2,Alfonzo,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,04/17/2020,Owner/Guardian Surrender,04/26/2020,Adoption,9,0,9
GPG-A-659,George Bailey,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/18/2020,Owner/Guardian Surrender,05/03/2020,Adoption,16,0,16
GPG-A-101-2,Remington,Dog,Pointer,Adult Dog (6 months+),Adopted,04/18/2020,Return,04/19/2020,Adoption,2,0,2
GPG-A-101-3,Remington,Dog,Pointer,Adult Dog (6 months+),Adopted,04/19/2020,Return,04/20/2020,Adoption,2,0,2
GPG-A-513-2,Channing Tatum,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,04/20/2020,Return,10/19/2020,Adoption,182,12,31
GPG-A-285-3,Chico,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,04/21/2020,Return,05/09/2020,Adoption,19,0,19
GPG-A-655,Ronan,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,04/21/2020,Owner/Guardian Surrender,04/22/2020,Adoption,2,2,2
GPG-A-653,Beckham,Dog,"Retriever, Golden",Adult Dog (6 months+),Adopted,04/21/2020,Owner/Guardian Surrender,04/27/2020,Adoption,7,2,6
GPG-A-660,Leaf,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/21/2020,Owner/Guardian Surrender,05/02/2020,Adoption,12,0,12
GPG-A-661,Nubins-RTO,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Redeemed,04/23/2020,Stray,04/23/2020,Return to Owner/Guardian,1,1,0
GPG-A-662,Queenie-RTO,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Redeemed,04/23/2020,Stray,04/23/2020,Return to Owner/Guardian,1,1,0
GPG-A-603-2,Peanut Butter-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/23/2020,Return,05/02/2020,Adoption,9,1,9
GPG-A-664,Jocasta-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Euthanasia,04/25/2020,Stray,04/26/2020,Euthanasia,2,0,0
GPG-A-665,Jocasta Kitten 1,Cat,Domestic Shorthair,Adult Cat (6 months+),Transfer Out,04/25/2020,Stray,04/26/2020,Transfer Out,2,0,0
GPG-A-666,Jocasta Kitten 2,Cat,Domestic Shorthair,Adult Cat (6 months+),Transfer Out,04/25/2020,Stray,04/26/2020,Transfer Out,2,0,0
GPG-A-667,TP,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/28/2020,Transfer In,01/19/2021,Adoption,267,0,267
GPG-A-668,Victoria,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,04/28/2020,Transfer In,05/01/2020,Adoption,3,1,3
GPG-A-669,Saffron aka Sally - RTO,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Redeemed,04/28/2020,Transfer In,05/30/2020,Return to Owner/Guardian,32,1,3
