Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4447,Joey,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Transfer In,-,-,57,7,57
GPG-A-4449,Lamar,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Stray,-,-,57,16,50
GPG-A-4451,Pudge-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,2/1/2023,Stray,-,-,56,7,50
GPG-A-4457,Inky,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Cuddle Room 2",2/2/2023,Stray,-,-,55,52,4
GPG-A-4373-2,Winnie-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,2/2/2023,Return,-,-,55,5,55
GPG-A-4467,Kia,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/3/2023,Owner/Guardian Surrender,-,-,54,1,6
GPG-A-4146-2,Dorthea,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/5/2023,Return,-,-,52,0,52
GPG-A-4479,Portia,Dog,Shepherd,Adult Dog (6 months+),N/A,2/8/2023,Stray,-,-,49,1,1
GPG-A-224-3,Nena,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/10/2023,Transfer In,2/20/2023,Adoption,11,1,11
GPG-A-4489,Lucia,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,-,-,47,1,37
GPG-A-4491,Cam,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,-,-,47,1,44
GPG-A-4493,Paula,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,-,-,47,2,35
GPG-A-4495,Old Man Jenkins,Dog,"Pyrenees, Great",Adult Dog (6 months+),N/A,2/10/2023,Stray,-,-,47,4,43
GPG-A-4500,Tugboat-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,2/13/2023,Owner/Guardian Surrender,-,-,44,33,27
GPG-A-4514,Maddie,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4510,Lightning,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,0
GPG-A-4511,Tow,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4512,Sarge,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4513,Fillmore,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4515,Cruz,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4516,Holley,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4517,Lizzie,Dog,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,-,-,43,0,2
GPG-A-4507,Brandy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/15/2023,Stray,-,-,42,22,33
GPG-A-4519,Sasha,Dog,"Bulldog, American",Adult Dog (6 months+),"Suites, Cuddle Room 1",2/17/2023,Owner/Guardian Surrender,-,-,40,23,40
GPG-A-4108-2,Rousso,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/19/2023,Return,-,-,38,0,38
GPG-A-4434-2,Ralphie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/21/2023,Return,-,-,36,14,36
GPG-A-4532,Billy,Dog,Mastiff,Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 1",2/22/2023,Owner/Guardian Surrender,-,-,35,13,35
GPG-A-4538,Whiskey-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,2/23/2023,Owner/Guardian Surrender,-,-,34,9,34
